SMILES,Name,perm(cm/s),loss,DOI
C(C(C(C(C(CO)O)O)O)O)O,mannitol,24.0,0.0,10.1002/jps.2600770103
CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,methazolamide,26.0,0.0,10.1001/archopht.1988.01060140266039
CN1C(=N)SC(=N1)S(=O)(=O)N,"5-Imino-4-methyl-1,3,4 thiadiazoline-2-sulfonamide",7.800000000000001,0.0,10.1016/0014-4835(83)90041-7
C1=CC=C(C=C1)NCNC2=CC=CC=C2,Methylene dianiline,250.0,0.0,doi:10.1021/js9802594
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,metoprolol,280.0,0.0,10.3109/02713689109001766
CC(C)CNC1CCS(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N.Cl,MK-927,46.0,0.0,
CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,nadolol,14.0,0.0,10.3109/02713689109001766
CC(=O)OC1CC2=C(CC1OC(=O)C)C(=CC=C2)OCC(CNC(C)(C)C)O,Nadolol diacetate,48.0,0.0,10.2165/00003088-199018040-00001
CC(C)NCC(COC1=CC=CC=C1OCC=C)O,oxprenolol,320.0,0.0,10.3109/02713689109001766
CC(C)(C)NCC(COC1=CC=CC=C1C2CCCC2)O,penbutolol,220.0,0.0,10.1002/jps.2600760802
CNCC(C1=CC(=CC=C1)O)O,phenylephrine,9.4,0.0,doi:10.1021/js9802594
CCC1C(COC1=O)CC2=CN=CN2C,pilocarpine,170.0,0.0,doi:10.1021/js9802594
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,pindolol,100.00000000000001,0.0,10.3109/02713689109001766
CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,prednisolone,37.0,0.0,10.1002/jps.2600670614
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,Prednisolone acetate,330.0,0.0,10.1002/jps.2600670614
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,procaine,41.99999999999999,0.0,doi:10.1021/js9802594
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,progesterone,200.00000000000003,0.0,10.1002/jps.2600670614
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,propranolol,310.0,0.0,10.1002/jps.2600770103
CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,rauwolfine,92.0,0.0,doi:10.1021/js9802594
COC1=C2CCNCC2=C(C=C1)OC,SKF 72223,490.0,0.0,doi:10.1021/js9802595
CN1CCC2=C(CC1)C(=CC=C2)Cl,SKF 86466,710.0,0.0,doi:10.1021/js9802596
C1CNCC2=C1C=CC3=C2N=NS3,SKF 86607,790.0,0.0,doi:10.1021/js9802597
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,sotalol,7.0,0.0,10.3109/02713689109001766
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,sucrose,43.0,0.0,10.1002/jps.2600760802
CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,sulfacetamide,19.0,0.0,doi:10.1021/js9802594
C1=CC(=CC=C1N)S(=O)(=O)N,sulfanilamide,5.0,0.0,doi:10.1021/js9802594
C1=CC=C2C(=C1)NC(=N2)S(=O)(=O)N,2-benzimidazolesulfonamide,30.0,0.0,10.2165/00003088-199018040-00001
CNS(=O)(=O)C1=CC=C(C=C1)Cl,4-chloro-N-methylbenzenesulfonamide,649.9999999999999,0.0,doi:10.1021/js9802594
C1=CC(=CC=C1S(=O)(=O)N)Cl,4-chlorobenzenesulfonamide,550.0,0.0,doi:10.1021/js9802595
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,testosterone,420.0,0.0,doi:10.1021/js9802596
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,tetracaine,15.0,0.0,doi:10.1021/js9802597
C1=CC=C(C=C1)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,Thiadiazole der.1n,79.0,0.0,10.1089/jop.1993.9.97
C1=CC(=CC(=C1)Cl)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,Thiadiazole der.2n,130.0,0.0,10.1089/jop.1993.9.98
C1=CC(=CC=C1N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N)Cl,Thiadiazole der.3n,83.0,0.0,10.1089/jop.1993.9.99
COC1=CC=CC(=C1)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,Thiadiazole der.4n,45.0,0.0,10.1089/jop.1993.9.100
COC1=CC=C(C=C1)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,Thiadiazole der.5n,52.0,0.0,10.1089/jop.1993.9.101
C1=CC(=CC=C1N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N)O,Thiadiazole der.6n,3.5,0.0,10.1089/jop.1993.9.102
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,acebutolol,11.0,0.0,10.3109/02713689109001766
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,acetazolamide,9.5,0.0,10.1002/jps.2600830120
C1=CC=C(C=C1)C(=O)NC2=NN=C(S2)S(=O)(=O)N,Acetazolamide der.1g,6.0,0.0,10.1016/0014-4835(83)90041-7
C1(=NN=C(S1)[S](=O)(=O)N([H])[H])N(C(=O)CCC(C)=C)[H],Acetazolamide der.2g,5.6000000000000005,0.0,10.1016/0014-4835(83)90041-8
CC(=O)N(C)C1=NN=C(S1)S(=O)(=O)N,Acetazolamide der.3g,23.0,0.0,doi:10.1021/js9802594
CC(C)NCC(COC1=CC=CC=C1CC=C)O,alprenolol,290.0,0.0,10.3109/02713689109001766
C1=CC=C(C=C1)N,aniline,360.0,0.0,doi:10.1021/js9802594
CC(=O)NC1=CC=C(C=C1)N,Aniline der.1h,36.0,0.0,doi:10.1021/js9802595
CC(=O)C1=CC=C(C=C1)N,Aniline der.2h,320.0,0.0,doi:10.1021/js9802596
C1=CC(=CC=C1C(=O)N)N,Aniline der.3h,17.0,0.0,doi:10.1021/js9802597
C1=CC(=CC=C1CO)N,Aniline der.4h,170.0,0.0,doi:10.1021/js9802598
C1=CC(=CC=C1CCO)N,Aniline der.5h,200.00000000000003,0.0,doi:10.1021/js9802599
C1=CC(=CC=C1N)Cl,Aniline der.6h,349.99999999999994,0.0,doi:10.1021/js9802600
CCOC1=CC=C(C=C1)N,Aniline der.7h,310.0,0.0,doi:10.1021/js9802601
CCC1=CC=C(C=C1)N,Aniline der.8h,270.0,0.0,doi:10.1021/js9802602
CC(C)C1=CC=C(C=C1)N,Aniline der.9h,240.0,0.0,doi:10.1021/js9802603
COC1=CC=C(C=C1)N,Aniline der.10h,349.99999999999994,0.0,doi:10.1021/js9802604
CC1=CC=C(C=C1)N,Aniline der.11h,300.0,0.0,doi:10.1021/js9802605
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,atenolol,11.0,0.0,10.3109/02713689109001766
C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N,benzolamide,3.3000000000000003,0.0,doi:10.1021/js9802594
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,betaxolol,270.0,0.0,10.3109/02713689109001766
CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,bevantolol,540.0,0.0,10.1002/jps.2600721109
CC(=O)N(C1=NN=C(S1)S(=O)(=O)N)Br,bromacetazolamide,4.2,0.0,10.1001/archopht.1988.01060140266039
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,bufuralol,720.0,0.0,10.1002/jps.2600721109
CCCCO,butanol,760.0,0.0,10.1002/jps.2600770103
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],chloramphenicol,68.0,0.0,doi:10.1021/js9802594
C1=CC=C(C(=C1)C2=NN=C(S2)S(=O)(=O)N)Cl,chlorzolamide,180.0,0.0,10.1016/0014-4835(83)90041-6
CC1=C(N=CN1)CSCCNC(=NC)NC#N,cimetidine,7.0,0.0,doi:10.1021/js9802594
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,clonidine,440.0,0.0,doi:10.1021/js9802595
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,cocaine,61.0,0.0,doi:10.1021/js9802594
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C,cortexolone,300.0,0.0,10.1002/jps.2600670614
COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,corynanthine,110.0,0.0,doi:10.1021/js9802594
C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,cromolyn,11.0,0.0,10.1002/jps.2600770103
C1CNP(=O)(OC1)N(CCCl)CCCl,cyclophosphamide,110.0,0.0,doi:10.1021/js9802594
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,cyclosporin,110.0,0.0,10.2165/00003088-199018040-00001
CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,deoxycorticosterone,400.00000000000006,0.0,10.1002/jps.2600670614
C(C=O)C(C(C(CO)O)O)O,2-deoxyglucose,74.0,0.0,10.2165/00003088-199018040-00001
[C@H]1([C@H]([C@@H](C[C@H](O1)OC2CC2)O[H])O[H])CO[H],2-deoxyglucose der.1i,22.0,0.0,10.2165/00003088-199018040-00002
CCOC1CC(C(C(O1)CO)O)O,2-deoxyglucose der.2i,29.000000000000004,0.0,10.2165/00003088-199018040-00003
CC(C)OC1CC(C(C(O1)CO)O)O,2-deoxyglucose der.3i,18.0,0.0,10.2165/00003088-199018040-00004
COC1CC(C(C(O1)CO)O)O,2-deoxyglucose der.4i,46.0,0.0,10.2165/00003088-199018040-00005
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,dexamethasone,50.00000000000001,0.0,10.1002/jps.2600670614
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,Dexamethasone acetate,370.0,0.0,10.1002/jps.2600670614
COC1=CC(=C(C=C1)OC)N,"2,5-dimethoxyaniline",330.0,0.0,doi:10.1021/js9802594
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Edetic acid (EDTA),20.999999999999996,0.0,10.1002/jps.2600770103
C(CO)N,ethanolamine,5.0,0.0,doi:10.1021/js9802594
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,ethoxzolamide,440.0,0.0,doi:10.1021/js9802594
C1=CC=C2C(=C1)N=C(S2)S(=O)(=O)N,Ethoxzolamide der.1j,360.0,0.0,10.1002/jps.2600740210
C1=CC2=C(C=C1O)SC(=N2)S(=O)(=O)N,Ethoxzolamide der.2j,56.0,0.0,10.1002/jps.2600740211
C1=CC2=C(C=C1Cl)SC(=N2)S(=O)(=O)N,Ethoxzolamide der.3j,430.0,0.0,10.1002/jps.2600740212
C1=C(C=C(C2=C1SC(=N2)S(=O)(=O)N)Cl)Cl,Ethoxzolamide der.4j,390.0,0.0,10.1002/jps.2600740213
C1=CC2=C(C=C1N)SC(=N2)S(=O)(=O)N,Ethoxzolamide der.5j,67.0,0.0,10.1002/jps.2600740214
C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)S(=O)(=O)N,Ethoxzolamide der.6j,66.0,0.0,10.1002/jps.2600740215
C1=CC2=C(C=C1OCCO)SC(=N2)S(=O)(=O)N,Ethoxzolamide der.7j,15.0,0.0,10.1002/jps.2600740216
C1=CC=C(C=C1)COC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,Ethoxzolamide der.8j,470.0,0.0,10.1002/jps.2600740217
CC(=O)NC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,Ethoxzolamide der.9j,47.0,0.0,10.1002/jps.2600740218
C1=CC(=CC(=C1)F)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,Thiadiazole der.7n,64.0,0.0,10.1089/jop.1993.9.97
C1=CC(=CC=C1N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N)F,Thiadiazole der.8n,41.0,0.0,10.1089/jop.1993.9.98
CN(C)C1=CC=C(C=C1)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,Thiadiazole der.9n,58.00000000000001,0.0,10.1089/jop.1993.9.99
CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,timolol,120.0,0.0,10.3109/02713689109001766
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,tobramycin,5.2,0.0,doi:10.1021/js9802598
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,triamcinoloneacetonide,120.0,0.0,10.1002/jps.2600670614
CN1C(=NC(=O)C(Cl)(Cl)Cl)SC(=N1)S(=O)(=O)N,trichlormethazolamide,65.0,0.0,doi:10.1021/js9802598
CN1C(=NC(=O)C(F)(F)F)SC(=N1)S(=O)(=O)N,trifluormethazolamide,39.0,0.0,10.1016/0014-4835(83)90041-7
O,water,1499.9999999999998,0.0,10.1002/jps.2600770103
C1=CC=C2C(=C1)N=C(S2)SN,2-benzothiazole-sulfonamide,360.0,0.0,10.1002/bdd.2510030306
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,Ampicillin,1.89,0.24,10.1016/j.ejps.2018.03.034
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,Atropine,5.64,2.15,10.1016/j.ejps.2018.03.034
CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,Aztreonam,1.02,0.49,10.1016/j.ejps.2018.03.034
CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,Brinzolamide,1.36,0.35,10.1016/j.ejps.2018.03.035
C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)O,Bromfenac ,3.99,2.67,10.1016/j.ejps.2018.03.036
CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,Carteolol ,1.43,0.49,10.1016/j.ejps.2018.03.037
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,Diclofenac,6.2,6.49,10.1016/j.ejps.2018.03.039
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Fluconazole,9.97,4.5,10.1016/j.ejps.2018.03.040
C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,Ketorolac,3.49,0.72,10.1016/j.ejps.2018.03.042
CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,Levocabastine,4.08,2.16,10.1016/j.ejps.2018.03.043
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,Lincomycin,0.9,0.32,10.1016/j.ejps.2018.03.044
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,Quinidine,8.68,6.25,10.1016/j.ejps.2018.03.051
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,Tizanidine,47.04,17.57,10.1016/j.ejps.2018.03.052
CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,Voriconazole,31.68,15.34,10.1016/j.ejps.2018.03.053
CO,Methanol  ,912.0108393559096,0.0,10.1016/S0378-5173(01)00902-27
