Smiles,DockingScoreReward,Reward,DockingScoreProperty,Epoch
COCC[NH+](C1CCC(S(N)(=O)=O)C1)C(C(=O)O)c1cccc(-c2cncnc2)c1,6.8,6.8,-6.8,0
C#CNS(=O)(=O)c1c(CN[SH](=O)=O)cccc1C(CNC)C(=O)O,7.0,7.0,-7.0,0
CN(CC=O)c1cccc(CC2CCCC2O)c1C(OC=O)C(=O)O,6.9,6.9,-6.9,0
O=[SH]c1cc(CC(=O)O)c(C2CCS(=O)(=O)C2)c(-c2c[nH]c3ccccc23)c1NC(=O)CS,0.7,0.7,-0.7,0
O=C(O)Cc1ccc(-c2ccc([N+](=O)[O-])c(C3CC3)c2)c(-c2ccccc2Cl)c1-c1nccs1,-0.0,0.0,8.9,0
CC(CNc1ccoc1)c1ccc(C2CCCC2O)c(CC(=O)O)c1C1CCS(=O)(=O)C1,4.5,4.5,-4.5,0
C=CC1CCCC(c2cc(-c3ccc4c(c3)OCO4)cc(C(S)C(=O)O)c2)C1,2.7,2.7,-2.7,0
O=CC(=O)Nc1cc(N(N[SH](=O)=O)[SH](=O)=O)cc(CC(=O)O)c1C1CCCCCC1,7.7,7.7,-7.7,0
C=Cc1c(CC(=O)O)ccc(-c2ccccc2N)c1-c1nnc(C2CC2)o1,7.3,7.3,-7.3,0
C#COc1cc(COC)cc(NC(=O)C=O)c1CC(=O)O,6.3,6.3,-6.3,0
CCOC(=O)c1c(CC(=O)O)cc(Cc2ccccn2)cc1Nc1ccc2c(c1)CC[NH2+]C2,3.3,3.3,-3.3,0
C=CCOC1C=CC(C(=O)c2ccccc2C(C(=O)O)C(=S)c2ccc3c(c2)OCCO3)C1,2.9,2.9,-2.9,0
CS(=O)(=O)c1c(C(=O)C(N)=O)ccc(CC=O)c1C(SCC(N)=O)C(=O)O,5.1,5.1,-5.1,0
Nc1ccccc1-c1ccc(S(=O)(=O)c2ccc([SH]=O)c(C(C(=O)O)c3ccco3)c2)cc1,-0.0,0.0,0.9,0
C=Cc1cc(C2CCNCC2O)c(C)c(-c2ccc([SH](=O)=O)cc2)c1CC(=O)O,4.1,4.1,-4.1,0
C#Cc1cccc(C(C(=O)O)C2CCC(c3c[nH]c4ccccc34)C2SC(C)C=O)c1,4.4,4.4,-4.4,0
NC(=O)NS(=O)(=O)NCNc1cc(CC(=O)O)cc(-c2cccc3c2OCO3)c1,6.4,6.4,-6.4,0
C#Cc1ccc(CC(=O)O)c(S(=O)(=O)C#C)c1C1C=CC(C(=O)[O-])C1,6.0,6.0,-6.0,0
CCOC(=O)c1c(CC(=O)O)ccc(S)c1NC(=O)NOc1ccccc1,5.4,5.4,-5.4,0
O=C(O)Cc1cccc(N2CCOCC2)c1C1CN(Cl)CCC1C1CCNCC1,5.7,5.7,-5.7,0
CC(SCN[SH](=O)=O)C(=O)c1c(C2CCCc3c2cnn3C)cccc1C(C(=O)O)c1ccccc1,-0.0,0.0,0.2,0
O=CNc1cc(N(c2cccc(O)c2)[SH](=O)=O)c(C2CCN([SH](=O)=O)CC2)cc1CC(=O)O,3.8,3.8,-3.8,0
CC(C)Cc1cc(SCC(N)=O)cc(-c2cccc(O)c2)c1C(C(=O)O)C1CCCCC1C,3.6,3.6,-3.6,0
O=C(C(=O)C(C(=O)O)c1ccccc1S(=O)(=O)NCC1C=CC(C(=O)[O-])C1)c1ccccc1[N+](=O)[O-],1.8,1.8,-1.8,0
CNCC(=O)c1c(C2CCS(=O)(=O)C2)ccc(C(F)(F)F)c1C(C(=O)O)C(=O)C=O,5.0,5.0,-5.0,0
N#Cc1cc(S(=O)(=O)c2ccccc2)c(-c2ncccn2)c(CC(=O)O)c1N1CCCC1=O,0.6,0.6,-0.6,0
CC=CC(C(=O)O)c1ccc(N(C)CC=O)c(-c2ccon2)c1,7.3,7.3,-7.3,0
CC(SOc1ccccc1)C(=O)c1cc(CC=O)c(S(C)=O)c(CC(=O)O)c1,5.4,5.4,-5.4,0
Cc1cc([NH2+]C2CCC(c3ccc4c(c3)OCCO4)C2)cc(CC(=O)O)c1CCN1CC[NH2+]CC1,2.0,2.0,-2.0,0
CC(CN)c1c(-c2c[nH]c3ccccc23)ccc(CC(=O)O)c1CCC=O,6.3,6.3,-6.3,0
Smiles,DockingScoreReward,Reward,DockingScoreProperty,Epoch
CC(SC1CCCC1O)c1ccc(C2CCCCC2C)c(C(C(=O)O)C(C)(C)N)c1,7.5,7.5,-7.5,1
O=C(O)Cc1ccc(C2COc3ccccc3O2)c(-c2ccccn2)c1-c1nnc(C2CCCCCC2)o1,-0.0,0.0,17.7,1
CCSc1ccc(OC(C)(C)N)c(C(=O)C(C)S)c1CC(=O)O,5.9,5.9,-5.9,1
NC(=O)CSc1cc(CC(=O)O)c(N)c([NH+]2CCc3ccccc3C2)c1Cc1ccccn1,5.3,5.3,-5.3,1
O=C(N[SH](=O)=O)C(N[SH](=O)=O)C(C(=O)O)c1cccc(N2CCCC2=O)c1,5.3,5.3,-5.3,1
CCOC(=O)c1cc(-c2ccc([SH](=O)=O)cc2)c(C(=O)CNC)c(CC(=O)O)c1-c1ccc2c(c1)OCCO2,-0.0,0.0,24.7,1
NS(=O)(=O)c1ccc(-c2c(CC(=O)O)ccc(C3CCC(O)C3)c2C2CCCCCC2)cc1,-0.0,0.0,3.2,1
CCC(C=O)Nc1cc(C2CCN(c3ccoc3)CC2O)cc(Cc2ccccn2)c1CC(=O)O,1.6,1.6,-1.6,1
O=C(O)Cc1cc(Cl)c(S)c(-c2ccc3c(c2)OCO3)c1-c1cccc2c1OCO2,3.5,3.5,-3.5,1
CCN1CC[NH+](C2CS(=O)(=O)CC2c2c(CC(=O)O)cc(Cc3ccccn3)cc2NCc2c[nH]c3ccccc23)CC1,-0.0,0.0,15.0,1
Nc1ccccc1C(C(=O)O)c1cc([SH](=O)=O)c(-c2ccc3c(c2)OCO3)cc1-c1ccc([SH](=O)=O)cc1,-0.0,0.0,7.5,1
CC(C=O)Sc1c(-c2ccc3c(c2)OCO3)cc(CC(=O)O)cc1C1CCCC(C(C)C(N)C=O)C1,-0.0,0.0,5.0,1
O=C(O)C(NC1CC1)c1c(Cc2ccccn2)ccc(C=S)c1[SH](=O)=O,6.0,6.0,-6.0,1
O=C(O)C(CC(F)(Cc1ccccc1)c1ccc2c(c1)OCO2)c1ccccc1C1CCC(O)C1,4.1,4.1,-4.1,1
CS(=O)c1cc(-c2ccccc2Cl)c(C(C(=O)O)C(F)(F)F)cc1Cl,7.6,7.6,-7.6,1
CN(CC=O)c1ccc(C(C(=O)O)S(C)(=O)=O)cc1[NH2+]C1CCC(C(O)F)C1,5.2,5.2,-5.2,1
CCN1CC[NH+](c2ccc(C(C(=O)O)C(Cc3nccs3)N3CC[NH+](C#N)CC3)cc2)CC1,-0.0,0.0,8.0,1
CC(C)C(c1ccc(C#N)c(CC(=O)O)c1N1CCCC1)S(=O)(=O)N1CCCCC1,3.5,3.5,-3.5,1
CC(SCCN1CC[NH2+]CC1)C(=O)c1ccc(C(C(=O)O)c2ccnc3ccccc23)cc1N1CCCC1,-0.0,0.0,3.0,1
CCCNC(C(=O)O)c1cccc(C(NOC(C)C=O)c2c[nH]c3ccccc23)c1-c1ccccc1[N+](=O)[O-],-0.0,0.0,7.7,1
O=C([O-])C(C(=O)O)c1ccc(C(F)CCc2ccccc2)cc1N1CCOCC1,5.5,5.5,-5.5,1
CCOC(=O)c1ccc(NC2CC2)c(C(C(=O)O)C2Nc3ccccc3C3C=CCC32)c1COC,-0.0,0.0,0.3,1
C=Cc1c(-c2ccoc2)cc(Cc2ccccn2)cc1C(C(=O)O)c1ccc2cc[nH]c2c1,4.2,4.2,-4.2,1
C=CCON(C(C(=O)O)c1ccc(SCC)cc1N=C)[SH](=O)=O,6.4,6.4,-6.4,1
CCOC(=O)S(=O)(=O)c1ccc(C(C(=O)O)c2cccc(C#N)c2CCF)cc1,5.6,5.6,-5.6,1
Cn1ncc2c1CCCC2c1ccc(C(C(=O)O)C2CCNCC2O)c(C(=O)C=O)c1NN,2.5,2.5,-2.5,1
C#Cc1c(C(C)C(C=O)NC2=CC(C(=O)[O-])CC2)cc(CC(=O)O)cc1C(F)(F)F,6.3,6.3,-6.3,1
O=C(O)Cc1c(-c2ccccn2)ccc(-c2ccc3c(c2)C2C=CCC2C(c2ccoc2)N3)c1C1CC1,-0.0,0.0,59.2,1
NC(=O)c1ccc(C2C=CC(C(=O)[O-])C2)c(Oc2ccccc2)c1C(C(=O)O)C1CCOC1,5.4,5.4,-5.4,1
C=CCOc1c(C(=O)OCC)cc(C(NC=S)C(=O)O)cc1C1CCCc2c1cnn2C,4.8,4.8,-4.8,1
CC(C)N[NH+](OCF)C1CCC(c2ccc(CC(=O)O)cc2SC(C)C=O)C1,4.7,4.7,-4.7,1
CCC(N[NH2+]C1CCCC1)c1cc(CC(=O)O)cc(C(C)F)c1[SH]=O,6.7,6.7,-6.7,1
CNCC(=O)NC(=O)NS(=O)(=O)N(c1ccccc1CC(=O)O)C(N)c1c[nH]c2ccccc12,-0.0,0.0,1.1,1
NC(=O)CSc1cc(CN[SH](=O)=O)cc(C=CC=O)c1CC(=O)O,5.8,5.8,-5.8,1
CS(=O)c1ccc(S(=O)(=O)CCF)c(C(C(=O)O)c2ccc([N+](=O)[O-])cc2)c1,5.5,5.5,-5.5,1
CS(=O)(=O)c1c(CC(=O)O)cc(S(N)(=O)=O)cc1NNC1CCN([SH](=O)=O)CC1,4.3,4.3,-4.3,1
COCc1c(C(C(=O)O)C(=O)C(C)S)ccc(Cc2ccccn2)c1C(=O)C(C)S,3.4,3.4,-3.4,1
O=CC1C=CC([NH2+]C2CCC(c3ccc(C(C(=O)O)c4ccc5c(c4)C4C=CCC4CN5)c([NH2+]C4CCCC4)c3)C2)C1,-0.0,0.0,4.4,1
CNC(=O)c1c(S(C)(=O)=O)ccc(C2CCc3cnn(C)c3C2)c1C(C(=O)O)C1CCCCC1,1.3,1.3,-1.3,1
C=CCOc1cc(-c2cncnc2)c(C2CCN(C(=O)C3C=CCC3)CC2O)cc1CC(=O)O,0.7,0.7,-0.7,1
O=C(C(=O)C1Nc2ccccc2C2C=CCC12)c1cc(C(C(=O)O)[NH+]2CCc3ccccc3C2)ccc1O,-0.0,0.0,5.4,1
C=CCOC(C(=O)O)c1cc(-c2ccc3cc[nH]c3c2)cc(-c2cccs2)c1C1CCCCCC1,-0.0,0.0,5.3,1
N=Cc1ccc(C=S)c(CC(=O)O)c1-c1cc(S)ccn1,7.3,7.3,-7.3,1
CNC(=O)c1cc(-c2ccccc2Cl)c(CC(=O)O)c(N2C(=O)CCC2NC=S)c1,6.7,6.7,-6.7,1
O=C(O)Cc1cc(-c2cscn2)c(-c2nnco2)c(-c2ccno2)c1C(=O)[O-],4.2,4.2,-4.2,1
CS(=O)C(C(=O)O)c1ccc(-c2c[nH]c3ccccc23)c(-c2ncccn2)c1C1CC1,6.1,6.1,-6.1,1
O=C(O)Cc1c(-c2ccc3c(c2)CC[NH+](C2CCCCCC2)C3)cc(C2CCCCCC2)cc1C1CCCCCC1,-0.0,0.0,99.9,1
COCCC(C(=O)O)c1cc(COC)cc(C2OCCC2NCc2c[nH]c3ccccc23)c1,5.1,5.1,-5.1,1
N#Cc1ccc(C2CCCCC2)c(C(Cl)C(=O)O)c1-c1cccc(O)c1,5.6,5.6,-5.6,1
COCC(=S)NC1CCC(=O)N1c1cc(CC(=O)O)cc(N2CCCCC2)c1,6.2,6.2,-6.2,1
Nc1ccccc1-c1c(C23CC4CC(CC(C4)C2)C3)ccc(C(NC2CC2)C(=O)O)c1Cc1ccccn1,-0.0,0.0,3.5,1
CS(=O)(=O)C(C(=O)O)c1c(C(N)=S)ccc(-c2ccccc2)c1C=O,7.7,7.7,-7.7,1
CN(C)c1cc(NN)c(-c2ccnc3ccccc23)c(CC(=O)O)c1C(C)(C)O,5.8,5.8,-5.8,1
CNS(=O)(=O)c1c(C2CCS(=O)(=O)C2)ccc(C(C(=O)O)S(=O)(=O)N2CCCCC2)c1-c1c[nH]c2ccccc12,-0.0,0.0,13.3,1
CCN1CC[NH+](C(C(=O)O)c2c(C=S)cc(NC3CC3)cc2N[SH](=O)=O)CC1,6.0,6.0,-6.0,1
N#CN=C(NC1CC1)c1cccc(CN[SH](=O)=O)c1CC(=O)O,6.9,6.9,-6.9,1
C=CCOc1cc(-c2nnc(C3CCCCCC3)o2)ccc1C(C(=O)O)c1ncccn1,-0.0,0.0,6.1,1
O=COc1cccc(-c2cc(CC(=O)O)cc(C34CC5CC(CC(C5)C3)C4)c2C=O)c1,7.8,7.8,-7.8,1
CC(C=O)Sc1cc(CC(=O)O)cc(C(=O)C(N)=O)c1S(=O)(=O)c1ccc(-c2ccoc2)cc1,-0.0,0.0,99.9,1
O=C(O)Cc1c(C2Nc3ccccc3C3C=CCC32)cc(Cc2ccccn2)cc1S(=O)C1CCN([SH](=O)=O)CC1,-0.0,0.0,8.5,1
O=CC(=O)C(C(=O)O)c1ccc(C2CCCCC2C(F)CC2CCC(=O)N2)cc1,6.0,6.0,-6.0,1
O=C(O)Cc1cc(N[SH](=O)=O)c(C(c2ccccc2)c2ccc3c(c2)OCO3)cc1S,4.2,4.2,-4.2,1
CS(=O)c1cc(-c2ccccc2N)c(S)c(CC(=O)O)c1N,6.6,6.6,-6.6,1
CC(C(=O)C=O)C(C=O)Nc1ccc(C(C(=O)O)S(=O)(=O)N2CCCCC2)cc1C1CCCc2c1cnn2C,-0.0,0.0,3.7,1
Smiles,DockingScoreReward,Reward,DockingScoreProperty,Epoch
N#Cc1cc(CN2CCCC2)cc(C(C(=O)O)C2Nc3ccccc3C3C=CCC32)c1,5.2,5.2,-5.2,2
CN(C)C(C(=O)O)c1ccc(-c2cncnc2)c(C(=O)O)c1C1COc2ccccc2O1,0.8,0.8,-0.8,2
CC(F)c1cc(CNC=O)c(C(C(=O)O)c2ncccn2)c(C(C)(C)O)c1,2.8,2.8,-2.8,2
Cc1c(-c2cccc3c2OCO3)cc(C(C(=O)O)c2ccc3c(c2)OCCO3)cc1S(C)(=O)=O,0.3,0.3,-0.3,2
COCCc1ccnc(-c2c(C(N)c3c[nH]c4ccccc34)ccc(Oc3ccccc3)c2CC(=O)O)c1,-0.0,0.0,2.6,2
CNCC(=O)c1ccc(-c2cc(N3CCCC3)co2)c(C(C(=O)O)C2CCCC2)c1,2.0,2.0,-2.0,2
CN(CC=O)c1cc(OC=O)c(SNC2CC2)cc1CC(=O)O,6.4,6.4,-6.4,2
C#Cc1c(C2CCCCC2)cc(CC(=O)O)c(OCC=C)c1C,7.6,7.6,-7.6,2
O=C(O)C(O)c1ccc(N2CCCCC2)c(SC23CC4CC(CC(C4)C2)C3)c1,4.4,4.4,-4.4,2
C=CCOc1cc(C(=O)CN)cc(C(C(=O)O)c2ccco2)c1-c1ccccc1[N+](=O)[O-],4.8,4.8,-4.8,2
COCCc1cc(-c2ccc3c(c2)OCO3)c(CC(=O)O)c(S(C)=O)c1-c1ccccc1,0.1,0.1,-0.1,2
CC(C)C(c1cc(C2CCCCCC2)ccc1C(C(=O)O)C1CCc2cnn(C)c2C1)N1CCCC1=O,-0.0,0.0,6.6,2
O=C(O)Cc1ccc(S)c(C23CC4CC(CC(C4)C2)C3)c1NCc1ccccc1,5.4,5.4,-5.4,2
O=[SH]NC(=O)C(=O)c1ccc(C2CCOC2)c(CC(=O)O)c1-c1ccc2c(c1)CC[NH2+]C2,5.0,5.0,-5.0,2
CC(C)(N)c1cc(C(C(=O)O)N2CCCC2)c(C2CCC(O)C2)cc1-c1cccs1,-0.0,0.0,2.0,2
CC(C)C(c1ccc(C(=O)[O-])c(CC(=O)O)c1C(C)(C)N)C1CCCCC1,5.3,5.3,-5.3,2
CC1C(C(N)=O)CCCC1c1ccc(CC(=O)O)c(C(NCc2ccccn2)c2c[nH]c3ccccc23)c1,-0.0,0.0,3.6,2
NCC(=O)c1cc(-c2cc(CC(=O)O)c(-c3ccc4c(c3)C3C=CCC3CN4)cc2N2CCCC(O)C2)cc2c1OCO2,-0.0,0.0,199.4,2
CC1COc2cc(C(C(=O)O)c3c(NN)cccc3-c3ccnc4ccccc34)ccc2O1,3.8,3.8,-3.8,2
COCc1cc(CC(=O)O)cc(-c2cccc3c2OCO3)c1NN[SH]=O,7.1,7.1,-7.1,2
C=Cc1cc(CC(=O)O)c(-c2ccnc(C(C)F)c2)cc1C1CCCCC1,7.1,7.1,-7.1,2
C=CCOc1cc(C=S)cc(C(NOc2ccccc2)C(=O)O)c1,7.3,7.3,-7.3,2
[NH3+]C1CCC(NNc2cc(C3CCCC3)c(-c3ccoc3)cc2CC(=O)O)C1,4.2,4.2,-4.2,2
CN(C)c1cc(N[SH](=O)=O)c(C2CCC(=O)N2)cc1C(CC=O)C(=O)O,6.0,6.0,-6.0,2
C=CCOc1c(-c2cccc(Cl)c2)cc(CC(C)C)cc1C(C(=O)O)C(N)CC,6.0,6.0,-6.0,2
O=C(O)Cc1c(N2CCOCC2)ccc(Oc2cccc(C3Nc4ccccc4C4C=CCC43)c2)c1-c1cccc2cccnc12,-0.0,0.0,38.1,2
CN(CC=O)c1c(C2CCCCCC2)ccc(C(C(=O)O)S(C)=O)c1C1CC1,3.9,3.9,-3.9,2
O=C([O-])C(C(=O)O)c1c([NH2+]C2CCCC2)cc(NC2CC2)cc1C1CCNCC1O,4.9,4.9,-4.9,2
N=Cc1c(CC(=O)O)c(C(=O)CN)cc(C=O)c1C12CC3CC(CC(C3)C1)C2,6.3,6.3,-6.3,2
CC(C=O)Oc1ccc(C=N[SH]=O)c(N)c1CC(=O)O,6.4,6.4,-6.4,2
CC(S)C(=O)c1cc(C(=O)[O-])cc(C2CCC(=O)N2)c1C(OC=O)C(=O)O,6.0,6.0,-6.0,2
O=C([O-])c1ccc(S(=O)(=O)N2CCC(C3CCCCC3)CC2)c(C(C(=O)O)C2CCCCCC2)c1,0.1,0.1,-0.1,2
NC(=O)NC(c1ccccc1)c1cc(C2CCS(=O)(=O)C2)ccc1C(N)C(=O)O,5.3,5.3,-5.3,2
CC(S)C(=O)CNc1ccc(CNC=O)c(C(C(=O)O)c2ccoc2)c1,7.4,7.4,-7.4,2
CCOC(=O)c1cc(-c2nnco2)c(-c2cccs2)c(NC2CC2)c1CC(=O)O,5.5,5.5,-5.5,2
CCOC(=O)C(C(=O)O)c1ccc(O)cc1C1CC(C(=O)[O-])C=C1S(=O)(=O)NC,5.6,5.6,-5.6,2
CN(CC(=O)C(C(=O)O)c1c(S)cccc1C1CCCCCC1)[SH]=O,5.7,5.7,-5.7,2
CC1CCCCC1c1ccc(C(O)=S)cc1C(Nc1ccccc1)C(=O)O,5.3,5.3,-5.3,2
O=[SH]c1ccc(-c2nnco2)c(-c2cccc(C3CCCCC3)c2)c1CC(=O)O,1.6,1.6,-1.6,2
O=[SH]c1c(C2CCCCC2)cc(-c2ccc3c(c2)OCO3)cc1C([NH2+]C1CCCC1)C(=O)O,-0.0,0.0,1.1,2
COCc1cc(NC(N)=O)c(C2=CC(C(=O)[O-])CC2)cc1C(C(=O)O)N1CCCC1=O,3.8,3.8,-3.8,2
O=C(O)C(c1cc(-c2cscn2)ccc1C1CCNCC1O)N1C(=O)CCC1NC=S,0.5,0.5,-0.5,2
CC1C(C=O)CCCC1c1cc(Nc2ccccc2)c(CC(=O)O)cc1-c1ccoc1,4.0,4.0,-4.0,2
O=C(CN(c1ccoc1)C12CC3CC(CC(C3)C1)C2)c1cccc(C(NC2CC2)C(=O)O)c1,4.9,4.9,-4.9,2
CC(C=O)Oc1c(CC(=O)O)cc(CC=O)c(C2CCCc3c2cnn3C)c1N[SH](=O)=O,3.1,3.1,-3.1,2
CS(=O)c1c(NC(=O)CS)cc(CC(=O)O)c(-c2cccc(O)c2)c1Nc1ccccc1,-0.0,0.0,1.7,2
CCCNC(C)C(C=O)Nc1c(CC(=O)O)ccc(C2C=CC(C(=O)[O-])C2)c1C(=O)OCC,3.4,3.4,-3.4,2
CC(F)c1c(-c2cc(NC3CC3)ccc2[N+](=O)[O-])cc(CC(=O)O)cc1C1CCCCC1C,-0.0,0.0,4.7,2
O=CC(=O)c1c(C(C(=O)O)N2CCCC2=O)ccc(Oc2ccccc2)c1-c1cscn1,-0.0,0.0,0.8,2
CC(Oc1c(-c2ccc3c(c2)OCCO3)ccc(CC(=O)O)c1C(N)c1c[nH]c2ccccc12)C(=O)C1CCC(=O)N1,-0.0,0.0,99.9,2
CCOC(=O)c1cc(-c2cc(-c3ccc4c(c3)CC[NH2+]C4)ccc2C(C(=O)O)C2CCC(=O)N2)ccc1[N+](=O)[O-],-0.0,0.0,38.6,2
CNCC(=O)c1c(NN)cc(C(S)C(=O)O)cc1C1CCC(O)C1,6.0,6.0,-6.0,2
O=CNCc1cc(C(=O)C(=O)C2CCC(=O)N2)cc(C(C(=O)O)c2ccco2)c1,6.8,6.8,-6.8,2
CCOC(=O)OC(F)c1cc(NS(=O)(=O)C2CCC(=O)N2)ccc1CC(=O)O,5.6,5.6,-5.6,2
CC(C)(O)c1cc(C(SCC(N)=O)C(=O)O)c(NCc2c[nH]c3ccccc23)cc1[SH]=O,-0.0,0.0,1.3,2
CC(C)CN(CC=O)c1cc(CC(=O)O)cc(-c2ccco2)c1C12CC3CC(CC(C3)C1)C2,2.6,2.6,-2.6,2
O=C(O)Cc1cc(C(=O)C2CCCCC2c2ccoc2)ccc1Cc1ccccc1,-0.0,0.0,0.6,2
COCc1cc(S)c(Cc2ccccc2)c(C(C)N2CC[NH2+]CC2)c1CC(=O)O,5.8,5.8,-5.8,2
CC(C)Cc1c(C(CNC=O)C(=O)O)cc(C2CCCNC2)cc1[SH](=O)=O,6.3,6.3,-6.3,2
NNc1cc(N2CCOCC2)c(C(C(=O)O)C2C=CC(C=O)C2)cc1N,5.6,5.6,-5.6,2
NC(=S)SCC(=O)Nc1ccc(C([SH]=O)C(=O)O)c(C(=O)O)c1,4.9,4.9,-4.9,2
CC1CCCCC1C(Cc1ccc(CC(=O)O)c(S(=O)(=O)N2CCCCC2)c1C1C=CC(C=O)C1)N1CC[NH2+]CC1,-0.0,0.0,3.2,2
O=[SH]c1ccc(O)c(C(C(=O)O)c2cc(C3CCCCCC3)ccn2)c1,7.4,7.4,-7.4,2
Cn1ncc2c1CC(c1c(C(Cc3ccccn3)C(=O)O)cccc1C1CCCC1O)CC2C1C=CC(C=O)C1,-0.0,0.0,18.3,2
Smiles,DockingScoreReward,Reward,DockingScoreProperty,Epoch
CC(=O)c1c(C2CC2)cc(CC(=O)O)c(-c2ccc([N+](=O)[O-])cc2)c1C,-0.0,0.0,5.0,3
NNC(C(=O)O)c1cc(NCc2c[nH]c3ccccc23)cc(NC(c2c[nH]c3ccccc23)C(F)(F)F)c1,5.0,5.0,-5.0,3
O=C(O)C(c1ccccc1C(c1ccccc1)C1CCCC1)S(=O)c1ccco1,6.2,6.2,-6.2,3
